codigo,producto,categoria,precio
CYCSA-PE-46,CYCSA-PE-46 Métodos de prueba estándar para la densidad del suelo y los materiales rocosos in situ mediante el método de reemplazo de agua en un pozo de prueba Compactación por reemplazo de agua,N/A,2250.0
CYCSA-PE-47,CYCSA-PE-47 procedimiento de tinte penetrante para la  detección de defectos en la soldadura (ensayo no destructivo),N/A,2000.0
CYCSA-PE-49,CYCSA-PE-49 Método de prueba estándar para el uso del penetrómetro de cono dinámico en aplicaciones de pavimentos poco profundos(DCP),N/A,4800.0
CYCSA-PE-50,CYCSA-PE-50 Método de prueba estándar para el valor equivalente de arena de suelos y agregados finos (Equivalente de arena.),N/A,2250.0
CYCSA-PE-51,CYCSA-PE-51 Métodos de Prueba Estándar para Medición No Destructiva del Espesor de Película Seca de Recubrimientos No-Magnético Aplicado a una Base Ferrosa,N/A,1900.0
CYCSA-PE-52,CYCSA-PE-52 Método de prueba estándar para la solidez de los agregados mediante el uso de sulfato de sodio o sulfato de magnesio. (Intemperísmo Acelerado agregado grueso Durabilidad de sulfato en magnesio),N/A,4500.0
CYCSA-PE-54,CYCSA-PE-54 Método de Prueba Estándar para Propiedades de Consolidados Unidimensionalmente de Suelo Usando Carga Incremental,N/A,15000.0
CYCSA-PE-55,Método Prueba de Corte Directo de  Suelo en Consolidación Drenada Consolidada,N/A,5500.0
CYCSA-PE-57,CYCSA-PE-57 Método de prueba estándar para la resistencia a la compresión de morteros de cemento hidráulico (utilizando muestras cúbicas de 50 mm [2 in]),N/A,600.0
CYCSA-PE-57-1,Toma de muestras de cubos de mortero  y ensayo Método de prueba estándar para la resistencia a la compresión de morteros de cemento hidráulico (utilizando muestras cúbicas de 50 mm [2 in]) muestras de 3 cubos cada una.,N/A,4800.0
CYCSA-PE-58,CYCSA-PE-58 Métodos de prueba estándar para la resistencia a la compresión de cilindros de suelo-cemento moldeados.,N/A,600.0
CYCSA-PE-59,"CYCSA-PE-59 Determinación de la densidad, la absorción de agua y los vacíos en el concreto endurecido.",N/A,900.0
CYCSA-PE-61,CYCSA-PE-61 Métodos de pruebas estándar de tensión para  materiales metálicos. ( Muestra de varillas #3),N/A,4250.0
CYCSA-PE-61-1,CYCSA-PE-61 Métodos de pruebas estándar de tensión para materiales metálicos. ( Muestra de varillas #4 ),N/A,4250.0
CYCSA-PE-61-2,CYCSA-PE-61 Métodos de pruebas estándar de tensión para materiales metálicos. ( Muestra de varillas #5 ),N/A,4700.0
CYCSA-PE-61-3,CYCSA-PE-61 Métodos de pruebas estándar de tensión para materiales metálicos. ( Muestra de varillas #6 ),N/A,4700.0
CYCSA-PE-61-4,CYCSA-PE-61 Métodos de pruebas estándar de tensión para materiales metálicos. ( Muestra de varillas #7 ),N/A,6700.0
CYCSA-PE-61-5,CYCSA-PE-61 Métodos de pruebas estándar de tensión para materiales metálicos. ( Muestra de varillas #8 ),N/A,6700.0
LAB-001,Servicio de Laboratorio  proyecto Sistema de Alcantarillado Sanitario Chinandega.,N/A,106210.47
LAB-002,Servicio de Laboratorio proyecto Rehabilitación de Aeropuertos de la Costa Caribe Sur,N/A,0.0
